Make,Vehicles
OTHER/UNK,318983
TOYOTA,48709
FORD,47262
CHEVROLET,34812
HONDA,30496
LEXUS,19385
NISSAN,19179
DODGE,16217
MERCEDES-BENZ,16108
BMW,15802
HYUNDAI,15621
VOLKSWAGEN,15459
JEEP,14610
SUBARU,14423
KIA,14244
GMC,13768
MAZDA,13579
ACURA,10458
AUDI,9751
RAM,8875
INFINITI,6861
TESLA,6805
CADILLAC,5241
SCION,5066
PORSCHE,4360
CHRYSLER,4353
VOLVO,4308
MINI,3810
FREIGHTLINER,3465
LAND ROVER,3275
BUICK,2948
MITSUBISHI,2350
Unk,1793
LINCOLN,1595
PONTIAC,1439
PETERBILT,1238
SATURN,1231
JAGUAR,1051
MERCURY,891
KENWORTH,790
INTERNATIONAL,782
ISUZU,700
HUMMER,556
FIAT,550
SUZUKI,497
OLDSMOBILE,456
WORKHORSE,319
GENESIS,242
HINO,209
SAAB,188
PLYMOUTH,185
ALFA ROMEO,178
AUTOCAR,147
RIVIAN,105
GEO,101
BLUE BIRD,98
GILLIG,93
THOMAS BUS,91
NEW FLYER,85
ROADMASTER,84
MACK,81
UNKNOWN,74
BENTLEY,52
FERRARI,52
MASERATI,42
IC BUS LLC,39
SMART,35
POLESTAR,34
SPARTAN,29
IC BUS,28
VAN HOOL,26
PIERCE,23
EL DORADO,21
KALMAR,19
ROLLS-ROYCE,17
WESTERN STAR,15
MOTOR COACH INDUSTRIES,15
BYD COACH AND BUS,11
NORTH AMERICAN BUS INDUSTRIES,10
AMERICAN LAFRANCE,9
KOVATCH MOBLIE EQUIPMENT CORP.,9
STERLING,9
CRANE CARRIER,8
LAMBORGHINI,8
FLXIBLE TRANSIT COACHES,7
ORION,7
ASTON MARTIN,7
HME,6
PREVOST,6
CRUISE,5
AM GENERAL,5
LUCID,5
TMC,4
GLOBAL ENVIRONMENTAL,4
KOVATCH,4
TICO,4
WHITE/GMC,3
GREENPOWER MOTOR,3
NORTH AMERICAN,3
NEOPLAN,3
ALLIANZ,3
WHITE,2
XOS,2
LODAL,2
PROTERRA,2
ARBOC,2
BLUEBIRD,2
MOTOR COACH IND,2
MAN TRUCK AND BUS CORPORATION,2
CAPACITY,2
EMERGENCY ONE,1
BRIGHTDROP,1
VPG,1
CATERPILLAR,1
COUNTRY COACH,1
SPECIAL CONSTRUCTION,1
FWD,1
SEAGRAVE,1
TROLLEY,1
ALEXANDER DENNIS,1
MG,1
ORANGE EV,1
OSHKOSH,1
LOTUS,1
